S21 dB20 X,S21 dB20 Y
1000000000,-34.24431479475253
1023333333.333333,-33.56687907574474
1046666666.666667,-32.9010249755325
1070000000,-32.24614238878647
1093333333.333333,-31.60165996264629
1116666666.666667,-30.96704188844713
1140000000,-30.34178503889749
1163333333.333333,-29.72541641049063
1186666666.666667,-29.11749083674335
1210000000,-28.51758894278885
1233333333.333333,-27.92531531605617
1256666666.666666,-27.34029687137552
1280000000,-26.76218139195692
1303333333.333333,-26.19063623038409
1326666666.666666,-25.62534715611619
1349999999.999999,-25.06601733805311
1373333333.333333,-24.51236645254368
1396666666.666666,-23.96412990884025
1419999999.999999,-23.42105818545848
1443333333.333332,-22.88291627221707
1466666666.666666,-22.34948321392775
1489999999.999999,-21.82055175280075
1513333333.333332,-21.29592806763627
1536666666.666665,-20.77543160879893
1559999999.999999,-20.25889502882359
1583333333.333332,-19.74616420927848
1606666666.666665,-19.23709838521232
1629999999.999998,-18.73157036912504
1653333333.333332,-18.2294668769142
1676666666.666665,-17.73068895863807
1699999999.999998,-17.23515253717254
1723333333.333331,-16.74278905788366
1746666666.666665,-16.253546252242
1769999999.999998,-15.76738901780691
1793333333.333331,-15.28430041613495
1816666666.666664,-14.80428278882722
1839999999.999998,-14.3273589900214
1863333333.333331,-13.85357373103718
1886666666.666664,-13.38299502946492
1909999999.999997,-12.91571575060518
1933333333.333331,-12.45185522367352
1956666666.666664,-11.99156090844073
1979999999.999997,-11.5350100798636
2003333333.33333,-11.08241148869675
2026666666.666664,-10.63400694505417
2049999999.999997,-10.19007275950653
2073333333.33333,-9.750920962802708
2096666666.666663,-9.316900211136986
2119999999.999997,-8.888396269743007
2143333333.33333,-8.465831954481725
2166666666.666663,-8.049666400340859
2189999999.999997,-7.640393519066459
2213333333.33333,-7.238539507510015
2236666666.666664,-6.844659275924291
2259999999.999997,-6.459331683653731
2283333333.333331,-6.083153500486905
2306666666.666664,-5.716732056829334
2329999999.999998,-5.36067660524262
2353333333.333331,-5.01558848872646
2376666666.666665,-4.682050294447199
2399999999.999998,-4.360614260375007
2423333333.333332,-4.051790289340666
2446666666.666665,-3.756034001581205
2469999999.999999,-3.473735313351531
2493333333.333332,-3.205208056544009
2516666666.666666,-2.95068114533233
2539999999.999999,-2.710291746883916
2563333333.333333,-2.484080824904338
2586666666.666666,-2.271991302869486
2610000000,-2.073868948510425
2633333333.333333,-1.889465926005077
2656666666.666667,-1.718446812393565
2680000000,-1.560396744207557
2703333333.333333,-1.414831260641778
2726666666.666667,-1.281207347992701
2750000000,-1.15893516882119
2773333333.333334,-1.047389975921091
2796666666.666667,-0.9459237594635928
2820000000.000001,-0.8538762469922552
2843333333.333334,-0.7705849607014815
2866666666.666668,-0.6953941255058391
2890000000.000001,-0.6276623070760552
2913333333.333335,-0.5667687355429544
2936666666.666668,-0.5121183343568154
2960000000.000002,-0.4631455232261264
2983333333.333335,-0.4193168991599238
3006666666.666669,-0.3801329215854266
